a	A | A
added	AD/-D | A5/-5
adder	AD/-R | A5/-8
adders	AD/-R/-SS | A5/-8/-1
adding	AD/-NG | A5/-2
addled	AD/-L/-D | A5/-4/-5
addles	AD/-L/-SS | A5/-4/-1
addle	AD/-L | A5/-4
addling	AD/-L/-NG | A5/-4/-2
adds	AD/-SS | A5/-1
add	AD | A5
adulates	AD/-L/-T/-SS | A5/-4/-7/-1
adulate	AD/-L/-T | A5/-4/-7
alan	AL/-N | A4/-6
allans	AL/-N/-SS | A4/-6/-1
alley	AL/-Y | A4/-3
alleys	AL/-SS | A4/-1
alleys	AL/-Y/-SS | A4/-3/-1
allied	AL/-D | A4/-5
alloying	AL/-Y/-NG | A4/-3/-2
alt	AL/-T | A4/-7
altos	AL/-T/-SS | A4/-7/-1
altruist	AL/-T/-R/-SS/-T | A4/-7/-8/-1/-7
altruists	AL/-T/-R/-SS/-T/-SS | A4/-7/-8/-1/-7/-1
an	AN | A6
analyst	AN/-L/-SS/-T | A6/-4/-1/-7
analyst	AN/-L/-Y/-SS/-T | A6/-4/-3/-1/-7
analysts	AN/-L/-SS/-T/-SS | A6/-4/-1/-7/-1
analysts	AN/-L/-Y/-SS/-T/-SS | A6/-4/-3/-1/-7/-1
and	AN/-D | A6/-5
ands	AN/-D/-SS | A6/-5/-1
angered	ANG/-R/-D | A2/-8/-5
angering	ANG/-R/-NG | A2/-8/-2
anger	ANG/-R | A2/-8
angers	ANG/-R/-SS | A2/-8/-1
angled	ANG/-L/-D | A2/-4/-5
angle	ANG/-L | A2/-4
angles	ANG/-L/-SS | A2/-4/-1
angling	ANG/-L/-NG | A2/-4/-2
angrily	ANG/-R/-L/-Y | A2/-8/-4/-3
angry	ANG/-R/-Y | A2/-8/-3
angst	ANG/-SS/-T | A2/-1/-7
angsts	ANG/-SS/-T/-SS | A2/-1/-7/-1
angular	ANG/-L/-R | A2/-4/-8
angus	ANG/-SS | A2/-1
aniline	AN/-L/-N | A6/-4/-6
annal	AN/-L | A6/-4
annals	AN/-L/-SS | A6/-4/-1
annotates	AN/-T/-T/-SS | A6/-7/-7/-1
annotate	AN/-T/-T | A6/-7/-7
annually	AN/-L/-Y | A6/-4/-3
annular	AN/-L/-R | A6/-4/-8
annulated	AN/-L/-T/-D | A6/-4/-7/-5
annulate	AN/-L/-T | A6/-4/-7
annus	AN/-SS | A6/-1
anodyne	AN/-D/-N | A6/-5/-6
anteing	AN/-T/-NG | A6/-7/-2
antidote	AN/-T/-D/-T | A6/-7/-5/-7
antidotes	AN/-T/-D/-T/-SS | A6/-7/-5/-7/-1
antiing	AN/-T/-Y/-NG | A6/-7/-3/-2
anti	AN/-T/-Y | A6/-7/-3
ants	AN/-T/-SS | A6/-7/-1
antis	AN/-T/-Y/-SS | A6/-7/-3/-1
antlered	AN/-T/-L/-R/-D | A6/-7/-4/-8/-5
antler	AN/-T/-L/-R | A6/-7/-4/-8
antlers	AN/-T/-L/-R/-SS | A6/-7/-4/-8/-1
ant	AN/-T | A6/-7
any	AN/-Y | A6/-3
ardent	AR/-D/-N/-T | A8/-5/-6/-7
ardently	AR/-D/-N/-T/-L/-Y | A8/-5/-6/-7/-4/-3
ardor	AR/-D/-R | A8/-5/-8
ardours	AR/-D/-R/-SS | A8/-5/-8/-1
are	AR | A8
arid	AR/-D | A8/-5
aridly	AR/-D/-L/-Y | A8/-5/-4/-3
arrant	AR/-N/-T | A8/-6/-7
arras	AR/-SS | A8/-1
arsenal	AR/-SS/-N/-L | A8/-1/-6/-4
arsenals	AR/-SS/-N/-L/-SS | A8/-1/-6/-4/-1
arsenate	AR/-SS/-N/-T | A8/-1/-6/-7
arsenide	AR/-SS/-N/-D | A8/-1/-6/-5
arteries	AR/-T/-R/-Y/-SS | A8/-7/-8/-3/-1
artery	AR/-T/-R/-Y | A8/-7/-8/-3
art	AR/-T | A8/-7
arts	AR/-T/-SS | A8/-7/-1
arty	AR/-T/-Y | A8/-7/-3
at	AT | A7
atlases	AT/-L/-SS/-SS | A7/-4/-1/-1
atlas	AT/-L/-SS | A7/-4/-1
atoll	AT/-L | A7/-4
attar	AT/-R | A7/-8
baddie	BAD/-Y | 3A5/-3
baddies	BAD/-Y/-SS | 3A5/-3/-1
bade	BAD | 3A5
badly	BAD/-L/-Y | 3A5/-4/-3
ballad	BAL/-D | 3A4/-5
ballads	BAL/-D/-SS | 3A4/-5/-1
ballasted	BAL/-SS/-T/-D | 3A4/-1/-7/-5
ballast	BAL/-SS/-T | 3A4/-1/-7
ballasts	BAL/-SS/-T/-SS | 3A4/-1/-7/-1
balloted	BAL/-T/-D | 3A4/-7/-5
ballotings	BAL/-T/-NG/-SS | 3A4/-7/-2/-1
balloting	BAL/-T/-NG | 3A4/-7/-2
ballot	BAL/-T | 3A4/-7
ballots	BAL/-T/-SS | 3A4/-7/-1
bally	BAL/-Y | 3A4/-3
bal	BAL | 3A4
baluster	BAL/-SS/-T/-R | 3A4/-1/-7/-8
balusters	BAL/-SS/-T/-R/-SS | 3A4/-1/-7/-8/-1
banded	BAN/-D/-D | 3A6/-5/-5
bandied	BAN/-D/-Y/-D | 3A6/-5/-3/-5
bandies	BAN/-D/-Y/-SS | 3A6/-5/-3/-1
banding	BAN/-D/-NG | 3A6/-5/-2
bandit	BAN/-D/-T | 3A6/-5/-7
bandits	BAN/-D/-T/-SS | 3A6/-5/-7/-1
